DeelGemeenteNaam,GemeenteAdres,GemeenteEmail,GemeenteFax,GemeenteKalender,GemeenteNaam,GemeentePostcode,GemeenteTel,GemeenteWebsite,ICAdres,ICEmail,ICFax,ICGemeenteNaam,ICKalender,ICPostcode,ICTel,ICWebsite,ICnaam
FOURON-SAINT-PIERRE,"Schoolstraat, 115",,04 381 22 27,,FOURON-LE-COMTE,3798,04 381 00 13,http://,Gouverneur Verwilghensingel 32,info@limburg.net,011 28 89 31,HASSELT,http://www.limburg.net/,B-3500,0800 90 720,http://www.limburg.net,Limburg.net
TEUVEN,"Schoolstraat, 115",,04 381 22 27,,FOURON-LE-COMTE,3798,04 381 00 13,http://,Gouverneur Verwilghensingel 32,info@limburg.net,011 28 89 31,HASSELT,http://www.limburg.net/,B-3500,0800 90 720,http://www.limburg.net,Limburg.net
FOURON-LE-COMTE,"Schoolstraat, 115",,04 381 22 27,,FOURON-LE-COMTE,3798,04 381 00 13,http://,Gouverneur Verwilghensingel 32,info@limburg.net,011 28 89 31,HASSELT,http://www.limburg.net/,B-3500,0800 90 720,http://www.limburg.net,Limburg.net
SINT-TRUIDEN,"Kazernestraat, 13",info@sint-truiden.be,011 70 14 50,,SINT-TRUIDEN,3800,011 70 14 14,http://www.sint-truiden.be,Gouverneur Verwilghensingel 32,info@limburg.net,011 28 89 31,HASSELT,http://www.limburg.net/,B-3500,0800 90 720,http://www.limburg.net,Limburg.net
DURAS,"Kazernestraat, 13",info@sint-truiden.be,011 70 14 50,,SINT-TRUIDEN,3800,011 70 14 14,http://www.sint-truiden.be,Gouverneur Verwilghensingel 32,info@limburg.net,011 28 89 31,HASSELT,http://www.limburg.net/,B-3500,0800 90 720,http://www.limburg.net,Limburg.net
VELM,"Kazernestraat, 13",info@sint-truiden.be,011 70 14 50,,SINT-TRUIDEN,3800,011 70 14 14,http://www.sint-truiden.be,Gouverneur Verwilghensingel 32,info@limburg.net,011 28 89 31,HASSELT,http://www.limburg.net/,B-3500,0800 90 720,http://www.limburg.net,Limburg.net
WELLEN,"Dorpsstraat, 25",info@wellen.be,012 74 58 70,,WELLEN,3830,012 67 07 00,http://www.wellen.be,Gouverneur Verwilghensingel 32,info@limburg.net,011 28 89 31,HASSELT,http://www.limburg.net/,B-3500,0800 90 720,http://www.limburg.net,Limburg.net
HERTEN,"Dorpsstraat, 25",info@wellen.be,012 74 58 70,,WELLEN,3830,012 67 07 00,http://www.wellen.be,Gouverneur Verwilghensingel 32,info@limburg.net,011 28 89 31,HASSELT,http://www.limburg.net/,B-3500,0800 90 720,http://www.limburg.net,Limburg.net
ULBEEK,"Dorpsstraat, 25",info@wellen.be,012 74 58 70,,WELLEN,3830,012 67 07 00,http://www.wellen.be,Gouverneur Verwilghensingel 32,info@limburg.net,011 28 89 31,HASSELT,http://www.limburg.net/,B-3500,0800 90 720,http://www.limburg.net,Limburg.net
BORGLOON,"Sittardstraat, 2",infodienst@borgloon.be,012 67 36 74,,BORGLOON,3840,012 67 36 73,http://www.borgloon.be,Gouverneur Verwilghensingel 32,info@limburg.net,011 28 89 31,HASSELT,http://www.limburg.net/,B-3500,0800 90 720,http://www.limburg.net,Limburg.net
NIEUWERKERKEN (LIMBURG.),"Kerkstraat, 113",info@nieuwerkerken.be,011 67 37 00,,NIEUWERKERKEN (LIMBURG.),3850,011 48 03 60,http://www.nieuwerkerken.be,Gouverneur Verwilghensingel 32,info@limburg.net,011 28 89 31,HASSELT,http://www.limburg.net/,B-3500,0800 90 720,http://www.limburg.net,Limburg.net
HEERS,"Paardskerkhofstraat, 20",eric.schepmans@heers.be,011 48 01 19,,HEERS,3870,011 48 01 01,http://,Gouverneur Verwilghensingel 32,info@limburg.net,011 28 89 31,HASSELT,http://www.limburg.net/,B-3500,0800 90 720,http://www.limburg.net,Limburg.net
GINGELOM,"Sint-Pietersstraat, 1",,011 83 15 79,,GINGELOM,3890,011 88 10 31,http://www2.cipal.be/gingelom,Gouverneur Verwilghensingel 32,info@limburg.net,011 28 89 31,HASSELT,http://www.limburg.net/,B-3500,0800 90 720,http://www.limburg.net,Limburg.net
BORLO,"Sint-Pietersstraat, 1",,011 83 15 79,,GINGELOM,3890,011 88 10 31,http://www2.cipal.be/gingelom,Gouverneur Verwilghensingel 32,info@limburg.net,011 28 89 31,HASSELT,http://www.limburg.net/,B-3500,0800 90 720,http://www.limburg.net,Limburg.net
OVERPELT,"Oude Markt, 2",gemeente@overpelt.be,011 80 94 01,,OVERPELT,3900,011 80 94 00,http://www.overpelt.be,Gouverneur Verwilghensingel 32,info@limburg.net,011 28 89 31,HASSELT,http://www.limburg.net/,B-3500,0800 90 720,http://www.limburg.net,Limburg.net
NEERPELT,Kerkplein 1,milieu@neerpelt.be,011 66 36 52,,NEERPELT,3910,011 80 97 40,http://www.neerpelt.be,Gouverneur Verwilghensingel 32,info@limburg.net,011 28 89 31,HASSELT,http://www.limburg.net/,B-3500,0800 90 720,http://www.limburg.net,Limburg.net
LOMMEL,"Dorp, 57",secretariaat@lommel.be,011 54 34 18,,LOMMEL,3920,011 54 47 61,http://www.lommel.be,Gouverneur Verwilghensingel 32,info@limburg.net,011 28 89 31,HASSELT,http://www.limburg.net/,B-3500,0800 90 720,http://www.limburg.net,Limburg.net
HAMONT-ACHEL,"Stad, 40",,011 44 72 37,,HAMONT-ACHEL,3930,011 44 50 40,http://www.hamontachel.be/,Gouverneur Verwilghensingel 32,info@limburg.net,011 28 89 31,HASSELT,http://www.limburg.net/,B-3500,0800 90 720,http://www.limburg.net,Limburg.net
HECHTEL-EKSEL,"Don Boscostraat, 5",,011 73 01 54,,HECHTEL-EKSEL,3940,011 73 40 37,http://www2.cipal.be/hechtel,Gouverneur Verwilghensingel 32,info@limburg.net,011 28 89 31,HASSELT,http://www.limburg.net/,B-3500,0800 90 720,http://www.limburg.net,Limburg.net
EKSEL,"Don Boscostraat, 5",,011 73 01 54,,HECHTEL-EKSEL,3940,011 73 40 37,http://www2.cipal.be/hechtel,Gouverneur Verwilghensingel 32,info@limburg.net,011 28 89 31,HASSELT,http://www.limburg.net/,B-3500,0800 90 720,http://www.limburg.net,Limburg.net
HAM,"Dorpsstraat, 19",da_gemham@cipal.be,013 67 01 91,,HAM,3945,013 67 01 90,http://,Gouverneur Verwilghensingel 32,info@limburg.net,011 28 89 31,HASSELT,http://www.limburg.net/,B-3500,0800 90 720,http://www.limburg.net,Limburg.net
BOCHOLT,"Dorpsstraat, 16",gemeentebestuur@bocholt.be,089 46 67 90,,BOCHOLT,3950,089 46 04 70,http://www.bocholt.be,Gouverneur Verwilghensingel 32,info@limburg.net,011 28 89 31,HASSELT,http://www.limburg.net/,B-3500,0800 90 720,http://www.limburg.net,Limburg.net
BREE,"Stadsplein, 1",info@bree.be,089 46 23 93,,BREE,3960,089 46 29 21,http://www.bree.be,Gouverneur Verwilghensingel 32,info@limburg.net,011 28 89 31,HASSELT,http://www.limburg.net/,B-3500,0800 90 720,http://www.limburg.net,Limburg.net
LEOPOLDSBURG,"Koningin Astridplein, 37",,011 34 83 78,,LEOPOLDSBURG,3970,011 34 19 41,http://www.leopoldsburg.yucom.be/,Gouverneur Verwilghensingel 32,info@limburg.net,011 28 89 31,HASSELT,http://www.limburg.net/,B-3500,0800 90 720,http://www.limburg.net,Limburg.net
HEPPEN,"Koningin Astridplein, 37",,011 34 83 78,,LEOPOLDSBURG,3970,011 34 19 41,http://www.leopoldsburg.yucom.be/,Gouverneur Verwilghensingel 32,info@limburg.net,011 28 89 31,HASSELT,http://www.limburg.net/,B-3500,0800 90 720,http://www.limburg.net,Limburg.net
TESSENDERLO,"Markt, ",info@tessenderlo.be,013 67 36 93,,TESSENDERLO,3980,013 66 17 15,http://www.tessenderlo.be,Gouverneur Verwilghensingel 32,info@limburg.net,011 28 89 31,HASSELT,http://www.limburg.net/,B-3500,0800 90 720,http://www.limburg.net,Limburg.net
PEER,"Zuidervest, 2a",info@peer.be,011 61 07 01,,PEER,3990,011 61 07 00,http://www.peer.be,Gouverneur Verwilghensingel 32,info@limburg.net,011 28 89 31,HASSELT,http://www.limburg.net/,B-3500,0800 90 720,http://www.limburg.net,Limburg.net
LIEGE,Feronstrée 94-96,celluleenvironnement@liege.be,04 221 92 56,,LIEGE,4000,04 222 44 22 / 04 221 92 41,http://www.intradel.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
Liège,Feronstrée 94-96,celluleenvironnement@liege.be,04 221 92 56,,LIEGE,4000,04 222 44 22 / 04 221 92 41,http://www.intradel.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
Grivegnée,Feronstrée 94-96,celluleenvironnement@liege.be,04 221 92 56,,LIEGE,4000,04 222 44 22 / 04 221 92 41,http://www.intradel.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
ANGLEUR,Feronstrée 94-96,celluleenvironnement@liege.be,04 221 92 56,,LIEGE,4000,04 222 44 22 / 04 221 92 41,http://www.intradel.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
CHENEE,Feronstrée 94-96,celluleenvironnement@liege.be,04 221 92 56,,LIEGE,4000,04 222 44 22 / 04 221 92 41,http://www.intradel.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
HERSTAL,"place Jean Jaurès, 1",,04 240 65 86,,HERSTAL,4040,0800 135 46,http://,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
CHAUDFONTAINE,"avenue du Centenaire, 14",commune@chaudfontaine.be,04 361 55 40,,CHAUDFONTAINE,4050,04 361 55 50 / 04 361 55 52,http://www.chaudfontaine.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
VAUX-SOUS-CHEVREMONT,"avenue du Centenaire, 14",commune@chaudfontaine.be,04 361 55 40,,CHAUDFONTAINE,4050,04 361 55 50 / 04 361 55 52,http://www.chaudfontaine.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
BEAUFAYS,"avenue du Centenaire, 14",commune@chaudfontaine.be,04 361 55 40,,CHAUDFONTAINE,4050,04 361 55 50 / 04 361 55 52,http://www.chaudfontaine.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
EMBOURG,"avenue du Centenaire, 14",commune@chaudfontaine.be,04 361 55 40,,CHAUDFONTAINE,4050,04 361 55 50 / 04 361 55 52,http://www.chaudfontaine.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
SERAING,"place Communale, ",,04 330 83 59,,SERAING,4100,0800 941 02,http://www.seraing.com/,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
JEMEPPE-SUR-MEUSE,"place Communale, ",,04 330 83 59,,SERAING,4100,0800 941 02,http://www.seraing.com/,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
OUGREE,"place Communale, ",,04 330 83 59,,SERAING,4100,0800 941 02,http://www.seraing.com/,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
NEUPRE,"rue des Deux Eglises, 16",,04 371 38 09,,NEUPRE,4120,04 372 99 99,http://www.neupre.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
NEUVILLE-EN-CONDROZ,"rue des Deux Eglises, 16",,04 371 38 09,,NEUPRE,4120,04 372 99 99,http://www.neupre.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
PLAINEVAUX,"rue des Deux Eglises, 16",,04 371 38 09,,NEUPRE,4120,04 372 99 99,http://www.neupre.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
ESNEUX,"place Jean d'Ardenne, 1",info@esneux.be,04 380 22 93,,ESNEUX,4130,04 380 93 36,http://www.esneux.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
SPRIMONT,"rue du Centre, 1",,04 382 36 73,,SPRIMONT,4140,04 382 18 91,http://www.sprimont.be/,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
LOUVEIGNE,"rue du Centre, 1",,04 382 36 73,,SPRIMONT,4140,04 382 18 91,http://www.sprimont.be/,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
ANTHISNES,"rue de l'Hôtel de Ville, 1",christian.fagnant@publilink.be,04 383 67 90,,ANTHISNES,4160,04 383 60 75,http://www.anthisnes.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
VILLERS-AUX-TOURS,"rue de l'Hôtel de Ville, 1",christian.fagnant@publilink.be,04 383 67 90,,ANTHISNES,4160,04 383 60 75,http://www.anthisnes.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
HODY,"rue de l'Hôtel de Ville, 1",christian.fagnant@publilink.be,04 383 67 90,,ANTHISNES,4160,04 383 60 75,http://www.anthisnes.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
TAVIER,"rue de l'Hôtel de Ville, 1",christian.fagnant@publilink.be,04 383 67 90,,ANTHISNES,4160,04 383 60 75,http://www.anthisnes.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
COMBLAIN-AU-PONT,"place Leblanc, 13",info@comblainaupont.be,04 369 99 92,,COMBLAIN-AU-PONT,4170,04 369 99 99,http://www.comblainaupont.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
POULSEUR,"place Leblanc, 13",info@comblainaupont.be,04 369 99 92,,COMBLAIN-AU-PONT,4170,04 369 99 99,http://www.comblainaupont.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
HAMOIR,"rue de Tohogne, 14",,086 38 83 82,,HAMOIR,4180,086 38 80 01,http://www.hamoir.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
FILOT,"rue de Tohogne, 14",,086 38 83 82,,HAMOIR,4180,086 38 80 01,http://www.hamoir.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
FERRIERES,"place de Chablis, 21-22",,086 409 943/965,,FERRIERES,4190,086 409 956,http://www.ferrieres.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
BURDINNE,"rue des Ecoles, 3",,085 71 21 61,,BURDINNE,4210,085 71 15 38,http://www.burdinne.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
HERON,"place Communale, 1",caroline.bolly@publilink.be,085 71 37 45,,COUTHUIN,4218,085 71 12 75,http://www.heron.be/,Avenue Sergent Vrithoff 2,environnement@bep.be,081 71 82 50,NAMUR,http://www.bepenvironnement.be/bepenvironnement/collecte/calendrier/index.asp,B-5000,081 71 82 11,http://www.bep-environnement.be,BEP Environnement
COUTHUIN,"place Communale, 1",caroline.bolly@publilink.be,085 71 37 45,,COUTHUIN,4218,085 71 12 75,http://www.heron.be/,Avenue Sergent Vrithoff 2,environnement@bep.be,081 71 82 50,NAMUR,http://www.bepenvironnement.be/bepenvironnement/collecte/calendrier/index.asp,B-5000,081 71 82 11,http://www.bep-environnement.be,BEP Environnement
WASSEIGES,"rue du Baron d'Obin, 143",,081 85 62 33,,WASSEIGES,4219,081 85 54 80,http://www.wasseiges.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
GEER,"rue de la Fontaine, 1",info@geer.be,019 58 88 11,,GEER,4250,019 58 80 33,http://www.geer.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
OMAL,"rue de la Fontaine, 1",info@geer.be,019 58 88 11,,GEER,4250,019 58 80 33,http://www.geer.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
DARION,"rue de la Fontaine, 1",info@geer.be,019 58 88 11,,GEER,4250,019 58 80 33,http://www.geer.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
LIGNEY,"rue de la Fontaine, 1",info@geer.be,019 58 88 11,,GEER,4250,019 58 80 33,http://www.geer.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
BERLOZ,"rue Antoine Dodion, 10",berloz@skynet.be,019 33 99 88,,BERLOZ,4257,019 33 99 99,http://,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
BRAIVES,"rue du Cornuchamp, 5",,019 69 95 50,,BRAIVES,4260,019 69 62 26,http://www.braives.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
LATINNE,"rue du Cornuchamp, 5",,019 69 95 50,,BRAIVES,4260,019 69 62 26,http://www.braives.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
TOURINNE,"rue du Cornuchamp, 5",,019 69 95 50,,BRAIVES,4260,019 69 62 26,http://www.braives.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
HANNUT,"rue de Landen, 23",,019 51 93 99,,HANNUT,4280,019 51 93 78,http://www.hannut.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
LINCENT,"rue des Ecoles, 1",,019 63 02 50,,LINCENT,4287,019 63 02 43,http://www.lincent.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
WAREMME,"rue Joseph Wauters, 2",webmaster@waremme.be,019 32 82 29,,WAREMME,4300,019 33 93 71,http://www.waremme.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
FAIMES,"rue Adolphe Braas, 13",veronique.jacques@publilink.be,019 33 00 30,,FAIMES,4317,019 33 98 50,http://www.faimes.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
AWANS,"rue des Ecoles, 4",info@awans.be,04 263 48 51,,AWANS,4340,04 247 39 64,http://www.awans.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
HOGNOUL,"rue des Ecoles, 4",info@awans.be,04 263 48 51,,AWANS,4340,04 247 39 64,http://www.awans.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
FEXHE-LE-HAUT-CLOCHER,"rue de la Station, 108",,04 250 02 34,,FEXHE-LE-HAUT-CLOCHER,4347,04 250 10 15,http://www.fexhe-le-haut-clocher.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
REMICOURT,"Nouvelle Percée, 5",,019 54 49 62,,REMICOURT,4350,019 54 40 34,http://www.remicourt.be/,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
HODEIGE,"Nouvelle Percée, 5",,019 54 49 62,,REMICOURT,4350,019 54 40 34,http://www.remicourt.be/,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
DONCEEL,"rue Caquin, 4",infos@donceel.be,04 259 57 31,,DONCEEL,4357,04 259 52 44,http://www.donceel.be/,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
OREYE,"rue de la Westrée, 9",,019 67 85 34,,OREYE,4360,019 67 70 43,http://,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
CRISNEE,"rue de Favray, 1",info@crisnee.be,019 67 76 40,,CRISNEE,4367,019 33 83 91,http://www.crisnee.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
FLEMALLE,"Grand'Route, 287",,04 233 30 38,,FLEMALLE,4400,04 234 88 93,http://www.flemalle.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
SAINT-NICOLAS (LIEGE.),"rue de l'Hôtel communal, 63",,04 254 20 21,,SAINT-NICOLAS (LIEGE.),4420,04 252 98 90,http://,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
ANS,"Esplanade de l'Hôtel communal, 1",,04 246 51 01,,ANS,4430,04 239 71 11,http://www.ans-commune.be/,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
LONCIN,"Esplanade de l'Hôtel communal, 1",,04 246 51 01,,ANS,4430,04 239 71 11,http://www.ans-commune.be/,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
ALLEUR,"Esplanade de l'Hôtel communal, 1",,04 246 51 01,,ANS,4430,04 239 71 11,http://www.ans-commune.be/,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
JUPRELLE,"rue de l'Eglise, 20",commune@juprelle.be,04 278 75 83,,JUPRELLE,4450,04 278 66 54,http://www.juprelle.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
VOROUX-LEZ-LIERS,"rue de l'Eglise, 20",commune@juprelle.be,04 278 75 83,,JUPRELLE,4450,04 278 66 54,http://www.juprelle.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
PAIFVE,"rue de l'Eglise, 20",commune@juprelle.be,04 278 75 83,,JUPRELLE,4450,04 278 66 54,http://www.juprelle.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
VILLERS-SAINT-SIMEON,"rue de l'Eglise, 20",commune@juprelle.be,04 278 75 83,,JUPRELLE,4450,04 278 66 54,http://www.juprelle.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
FEXHE-SLINS,"rue de l'Eglise, 20",commune@juprelle.be,04 278 75 83,,JUPRELLE,4450,04 278 66 54,http://www.juprelle.be,Port de Herstal Pré Wigy,info@intradel.be,04 248 11 42,HERSTAL,http://client.cible.be/intradel/calendrier-2014/,B-4040,04 240 74 74,http://www.intradel.be,INTRADEL
